chembl_id,smiles,name,molecular_weight,is_approved,targets
250,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,,584.2634848719999,False,[]
251,C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O,,582.247834808,False,[]
253,O=C(O)CCCCC1SCC2NC(=O)NC21,,244.088163372,False,[]
254,Oc1cccc(-c2ccccc2)c1O,,186.06807956,False,[]
255,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,,340.009651878,False,[]
257,CCCCCCCCCCCC(O)CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1OC(=O)CC(O)CCCCCCCCCCC,,711.4322631819998,False,[]
258,[H]/N=C(\N)N(C)CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O,,422.20261593199996,False,[]
266,CCCC(=O)OP(=O)(O)O,,168.018760018,False,[]
274,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,,329.05251973399993,False,[]
275,NC(N)=NOCCC(N)C(=O)O,,176.090940244,False,[]
279,NC(=O)NC(CC(=O)O)C(=O)O,,176.043321356,False,[]
282,O=C(O)CCC1=CC=CC(O)C1O,,184.073558864,False,[]
287,O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O,,349.0562677219999,False,[]
288,C[N+](C)(C)CC(O)CC(=O)[O-],,161.10519334,False,[]
290,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,,403.0181815599999,False,[]
291,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,,489.11460736409003,False,[]
292,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)n1,,565.0710049799998,False,[]
293,NCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,,446.06038072,False,[]
294,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,,342.11621152399994,False,[]
298,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,,322.01232684400003,False,[]
299,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,,485.68344141999995,False,[]
302,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CC(O)C12C,,406.27192431599997,False,[]
303,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,,408.28757437999997,False,[]
304,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,,386.354866092,False,[]
306,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O,,226.04773804,False,[]
309,O=C(O)C=C(CC(=O)O)C(=O)O,,174.01643791200001,False,[]
311,O=C(O)CC(O)(CC(=O)O)C(=O)O,,192.02700259600002,False,[]
314,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,,323.051851038,False,[]
315,Nc1ccn(C2OC(COP(=O)(O)OCC(O)C(O)C(O)C(O)CC(=O)C(=O)O)C(O)C2O)c(=O)n1,,543.1101537619999,False,[]
316,CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO,,614.147267542,False,[]
317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,,767.1152089620001,False,[]
320,OCC1OC(n2cnc3c2NC=NCC3O)C(O)C1O,,284.11206961199997,False,[]
321,Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,,660.3159143680001,False,[]
322,O=C(O)C=Cc1ccc(O)cc1,,164.047344116,False,[]
325,CC(C)c1ccc(CO)cc1,,150.104465068,False,[]
328,O=C(O)C(O)c1ccc(O)cc1,,168.04225873599998,False,[]
329,CSCC(O)C(O)C(=O)COP(=O)(O)O,,260.011960386,False,[]
330,CC(C)CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3,,386.35486609199995,False,[]
332,C=Cc1ccc(O)c(OC)c1,,150.06807956,False,[]
